time_s,adc_value,voltage_v
0.283908,25,0.080645
0.751263,1019,3.287097
0.923934,199,0.641935
1.141872,139,0.448387
1.346186,414,1.335484
1.578789,196,0.632258
1.794537,218,0.703226
2.012871,216,0.696774
2.217064,270,0.870968
2.433811,329,1.061290
2.651589,325,1.048387
2.870118,373,1.203226
3.089671,536,1.729032
3.308375,598,1.929032
3.525474,679,2.190323
3.747000,743,2.396774
3.968967,834,2.690323
4.187202,934,3.012903
4.515584,1022,3.296774
4.781255,1023,3.300000
5.061359,1023,3.300000
5.341744,1023,3.300000
5.622556,1023,3.300000
5.889409,1023,3.300000
6.061774,765,2.467742
6.279959,462,1.490323
6.498499,140,0.451613
7.995433,41,0.132258
8.153212,303,0.977419
8.372191,748,2.412903
8.698826,1005,3.241935
8.978849,1023,3.300000
9.260634,1023,3.300000
9.528816,1023,3.300000
9.701465,900,2.903226
9.920673,385,1.241935
